"FECHA_SINTOMAS","n"
"2022-02-17","16581"
"2022-02-18","16836"
"2022-02-19","14039"
"2022-02-20","16553"
"2022-02-21","16942"
"2022-02-22","14357"
"2022-02-23","12918"
"2022-02-24","11557"
"2022-02-25","11186"
"2022-02-26","8977"
"2022-02-27","10157"
"2022-02-28","15209"
"2022-03-01","13087"
"2022-03-02","10424"
"2022-03-03","10806"
"2022-03-04","9471"
"2022-03-05","8524"
"2022-03-06","8296"
"2022-03-07","11291"
"2022-03-08","9310"
"2022-03-09","8585"
"2022-03-10","9243"
"2022-03-11","8157"
"2022-03-12","6993"
"2022-03-13","7814"
"2022-03-14","10433"
"2022-03-15","9301"
"2022-03-16","7632"
"2022-03-17","7066"
"2022-03-18","7036"
"2022-03-19","5701"
"2022-03-20","7514"
"2022-03-21","7849"
"2022-03-22","9474"
"2022-03-23","8028"
"2022-03-24","7282"
"2022-03-25","7654"
"2022-03-26","6479"
"2022-03-27","7565"
"2022-03-28","10188"
"2022-03-29","8073"
"2022-03-30","7135"
"2022-03-31","6289"
"2022-04-01","7628"
"2022-04-02","5941"
"2022-04-03","6515"
"2022-04-04","9085"
"2022-04-05","7659"
"2022-04-06","6799"
"2022-04-07","6381"
"2022-04-08","6325"
"2022-04-09","5286"
"2022-04-10","5651"
"2022-04-11","6287"
"2022-04-12","5301"
"2022-04-13","4511"
"2022-04-14","3143"
"2022-04-15","3640"
"2022-04-16","4342"
"2022-04-17","4962"
"2022-04-18","7492"
"2022-04-19","6048"
"2022-04-20","5959"
"2022-04-21","4907"
"2022-04-22","5157"
"2022-04-23","4766"
"2022-04-24","5483"
"2022-04-25","6848"
"2022-04-26","5345"
"2022-04-27","4805"
"2022-04-28","4726"
"2022-04-29","4229"
"2022-04-30","4327"
"2022-05-01","5934"
"2022-05-02","6541"
"2022-05-03","5588"
"2022-05-04","4990"
"2022-05-05","4642"
"2022-05-06","4717"
"2022-05-07","4259"
"2022-05-08","4693"
"2022-05-09","6120"
"2022-05-10","6063"
"2022-05-11","5529"
"2022-05-12","5167"
"2022-05-13","5503"
"2022-05-14","5183"
"2022-05-15","6652"
"2022-05-16","7735"
"2022-05-17","7138"
"2022-05-18","6769"
"2022-05-19","6481"
"2022-05-20","7250"
"2022-05-21","5967"
"2022-05-22","6913"
"2022-05-23","9117"
"2022-05-24","8104"
"2022-05-25","8051"
"2022-05-26","7071"
"2022-05-27","7569"
"2022-05-28","7329"
"2022-05-29","8740"
"2022-05-30","11868"
"2022-05-31","9923"
"2022-06-01","11357"
"2022-06-02","9062"
"2022-06-03","10470"
"2022-06-04","10389"
"2022-06-05","12663"
"2022-06-06","16993"
"2022-06-07","14416"
"2022-06-08","13278"
"2022-06-09","12681"
"2022-06-10","15524"
"2022-06-11","13222"
"2022-06-12","15103"
"2022-06-13","21143"
"2022-06-14","18727"
"2022-06-15","18606"
"2022-06-16","17017"
"2022-06-17","18207"
"2022-06-18","18978"
"2022-06-19","23029"
"2022-06-20","34260"
